"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Cd2"	0.663730326521025	0.122241774168808	0.0944925449807302	0.156263081925249	1	"Lymphocytes"	""
"2"	"Ccl5"	0.621055516404356	0.0862036758912995	0.0584544467032214	0.146131446660348	2	"Lymphocytes"	""
"3"	"Sell"	0.653276955602538	0.148004794544697	0.120255565356619	0.140201816273438	3	"Granulocytes, Lymphocytes"	""
"4"	"Ceacam1"	0.661694464020046	0.0888596184319608	0.0611103892438827	0.136255954218497	4	"Alveolum, Capillary_ECs, Vascular_ECs"	"Alveolum"
"5"	"Col18a1"	0.647443426513197	0.102600608379696	0.0748513791916181	0.133227088159326	5	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"	"Lymphatic_ECs, Pericytes, SMC, Vascular_ECs"
"6"	"Il7"	0.685694150810429	0.068866071239217	0.0411168420511389	0.133157869795928	6	"Lymphatic_ECs"	""
"7"	"Thbs1"	0.662007673635578	0.120697746019969	0.0929485168318911	0.133086452904424	7	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts, Pericytes"
"8"	"Gmfb"	0.629238117610213	0.0891637518505409	0.0614145226624628	0.131160442078935	8	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium"	"Alveolum"
"9"	"Pros1"	0.6336230522277	0.126142127384996	0.0983928981969177	0.130114266441839	9	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	"Vascular_ECs"
"10"	"Yars"	0.646738704878239	0.0838016676750305	0.0560524384869524	0.128691767260152	10	"Fibroblasts"	""
"11"	"Ptprc"	0.652337326755931	0.0770551742576047	0.0493059450695265	0.124457631129561	11	"Granulocytes, Lymphocytes, MNP"	""
"12"	"C3"	0.623247983713099	0.0808447455060245	0.0530955163179464	0.123607571801209	12	"Alveolum, Fibroblasts, Mesothelium"	"Mesothelium"
"13"	"Lrpap1"	0.622269203664552	0.108921269737498	0.0811720405494201	0.122176737244813	13	"Airway, Alveolum, Fibroblasts, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, MNP"
"14"	"Edn1"	0.629394722417982	0.0869950575075787	0.0592458283195006	0.121679633788638	14	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs"
"15"	"Jam2"	0.657113773392841	0.0819031161002692	0.0541538869121911	0.119547433773831	15	"Capillary_ECs, Vascular_ECs"	"Capillary_ECs, Vascular_ECs"
"16"	"Thbs2"	0.60097094980816	0.0925839968683538	0.0648347676802757	0.118461580282419	16	"Fibroblasts"	"Fibroblasts"
"17"	"Cfh"	0.639730639730639	0.0843902496203974	0.0566410204323193	0.11777548277111	17	"Fibroblasts, Lymphatic_ECs, Mesothelium"	""
"18"	"Dusp18"	0.619489468326676	0.116541047164884	0.0887918179768054	0.117596887193791	18	"Airway"	""
"19"	"Icam1"	0.64004384934617	0.0757657943239142	0.0480165651358361	0.117251383947719	19	"Airway, Alveolum, Capillary_ECs, Vascular_ECs"	"Airway, Alveolum, Capillary_ECs"
"20"	"Lamb2"	0.609466760629548	0.0853494701798473	0.0576002409917692	0.116905398439652	20	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"21"	"Itgb1"	0.613890846448987	0.0856094774110319	0.0578602482229538	0.116855957840303	21	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
"22"	"Ghrl"	0.633544749823819	0.0843906548883299	0.0566414257002518	0.116591451145477	22	"Airway"	"Airway"
"23"	"Itgb2"	0.615535196930548	0.0804611801403689	0.0527119509522908	0.116496875507846	23	"Granulocytes, Lymphocytes, MNP"	""
"24"	"Cxcl2"	0.596507712786785	0.0896542531297838	0.0619050239417057	0.116406120789635	24	"Granulocytes"	""
"25"	"Pecam1"	0.636246182757812	0.0856055005177176	0.0578562713296394	0.115389887241928	25	"Capillary_ECs, Lymphatic_ECs, Vascular_ECs"	""
"26"	"Jam3"	0.619097956307257	0.0809922944532885	0.0532430652652104	0.114791895325203	26	"Lymphatic_ECs"	""
"27"	"Selp"	0.634523529872367	0.0720188822426938	0.0442696530546157	0.114615889649139	27	"Vascular_ECs"	"Vascular_ECs"
"28"	"Spp1"	0.624305066165531	0.0773565894829869	0.0496073602949088	0.113867145693802	28	"Fibroblasts, MNP, Pericytes"	"Fibroblasts, MNP"
"29"	"Cxcl16"	0.616788035392686	0.0790254361283525	0.0512762069402744	0.112630884054452	29	"Alveolum, MNP"	"Alveolum, MNP"
"30"	"Il16"	0.617805966643176	0.0893346717585466	0.0615854425704685	0.112624728013396	30	"Granulocytes, Lymphocytes"	""
"31"	"Lgals3"	0.613734241641217	0.0791811633690646	0.0514319341809864	0.110495442812747	31	"Airway, Alveolum, Granulocytes, MNP"	"Airway, Alveolum, Granulocytes, MNP"
"32"	"Wnt5a"	0.628376791167489	0.0736262624041906	0.0458770332161125	0.109987061157838	32	"Fibroblasts, Pericytes"	""
"33"	"Cdh1"	0.603359173126617	0.0799376680132364	0.0521884388251583	0.109257556814103	33	"Airway, Alveolum"	""
"34"	"Arf1"	0.597212434421736	0.0864941442156817	0.0587449150276036	0.107963288340733	34	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs"
"35"	"Ptn"	0.590635032495497	0.0834151176130425	0.0556658884249644	0.10735444181083	35	"Fibroblasts, Mesothelium"	"Fibroblasts"
"36"	"Aimp1"	0.59913084331689	0.0851156355226238	0.0573664063345457	0.107340972202434	36	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC"	""
"37"	"Anxa1"	0.606373815676142	0.0799527939695223	0.0522035647814442	0.107322419874086	37	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum, Fibroblasts, Pericytes"
"38"	"Nampt"	0.633818808237416	0.0799880610744626	0.0522388318863845	0.106792375904657	38	"Lymphatic_ECs, MNP, SMC"	""
"39"	"Kitl"	0.631078224101482	0.0692489414789483	0.0414997122908702	0.105451485703067	39	"Capillary_ECs, Mesothelium, Pericytes, Vascular_ECs"	""
