"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Cxcl14"	0.989159891598916	0.0738721804511278	0.0720687539407581	0.160726763107819	1	"Fibroblasts, Pericytes"	"Fibroblasts"
"2"	"Edn1"	0.977868112014453	0.0782358156028369	0.0764323890924672	0.160568321380027	2	"Capillary_ECs, Vascular_ECs"	""
"3"	"Tnf"	0.945347786811201	0.0315983542928117	0.029794927782442	0.122191048419707	3	"MNP"	""
"4"	"Calr"	0.939024390243902	0.0170150209594783	0.0152115944491086	0.116929287797975	4	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Pericytes, SMC"
"5"	"Anxa1"	0.957994579945799	0.019724025974026	0.0179205994636563	0.0882077233451106	5	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, SMC"	"Alveolum"
"6"	"Icam1"	0.955736224028907	0.0186681824445363	0.0168647559341666	0.086906136766673	6	"Airway, Alveolum, Capillary_ECs, MNP, Vascular_ECs"	"Airway, Alveolum, Capillary_ECs, MNP"
"7"	"Gmfb"	0.953026196928636	0.0174945408703091	0.0156911143599394	0.0862034402736969	7	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Vascular_ECs"	"Alveolum"
"8"	"Il18"	0.960704607046071	0.0215099759415961	0.0197065494312264	0.0816942980435423	8	"MNP"	""
"9"	"Ghrl"	0.957542908762421	0.0197901938797068	0.0179867673693371	0.0794714348232707	9	"Airway"	"Airway"
"10"	"Cxcl2"	0.944896115627823	0.014979657687991	0.0131762311776213	0.0781656486298896	10	"Granulocytes"	""
"11"	"C3"	0.939024390243902	0.0140117818689247	0.012208355358555	0.0753942914178653	11	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Mesothelium"	"Mesothelium"
"12"	"Ptprf"	0.941282746160795	0.0140742788951305	0.0122708523847608	0.0724529175904798	12	"Airway, Alveolum, Mesothelium"	""
"13"	"Tnfsf13b"	0.95483288166215	0.0192416545718433	0.0174382280614735	0.0711919854192227	13	"Fibroblasts"	""
"14"	"Calm1"	0.938572719060524	0.0136518450976185	0.0118484185872488	0.071026688769592	14	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Pericytes"
"15"	"Sema4d"	0.901987353206865	0.0108626235675416	0.0090591970571719	0.0694743249126942	15	"MNP"	"MNP"
"16"	"Copa"	0.921409214092141	0.0113351560719982	0.00953172956162848	0.068279225702829	16	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum"
"17"	"Itgb2"	0.917795844625113	0.0106303632564137	0.00882693674604397	0.0679097232479548	17	"Granulocytes, Lymphocytes, MNP"	""
"18"	"Vcam1"	0.912827461607949	0.0108331211272388	0.00902969461686907	0.0677837763605673	18	"Fibroblasts, Mesothelium, SMC, Vascular_ECs"	"Mesothelium"
"19"	"Rps19"	0.906955736224029	0.0105707574398242	0.00876733092945448	0.0662408265837564	19	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"20"	"Lamb2"	0.90650406504065	0.0106704664114166	0.00886703990104694	0.0654775829921448	20	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"21"	"Npw"	0.922312556458898	0.0107846104543512	0.00898118394398153	0.0653260721649881	21	"Alveolum"	""
"22"	"Thbs1"	0.921409214092141	0.0112518312899992	0.00944840477962953	0.0646979944494888	22	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts"
"23"	"Sell"	0.926377597109304	0.0112671348382279	0.00946370832785815	0.0645894334533722	23	"Granulocytes, Lymphocytes"	""
"24"	"Trf"	0.92773261065944	0.0119295958279009	0.0101261693175312	0.0635660449304287	24	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium"	""
"25"	"Cdh1"	0.905600722673893	0.0101550146460326	0.00835158813566291	0.0634714819696908	25	"Airway, Alveolum"	""
"26"	"Hmgb1"	0.933152664859982	0.0130816671912562	0.0112782406808865	0.0634412960957495	26	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"27"	"Cd2"	0.916440831074977	0.0106509625126646	0.00884753600229494	0.0632829080691547	27	"Lymphocytes"	""
"28"	"Pcdh7"	0.88843721770551	0.00932851484295955	0.00752508833258985	0.0627416723452085	28	"Fibroblasts, Mesothelium, SMC, Vascular_ECs"	""
"29"	"Lrpap1"	0.883017163504968	0.00977853500275025	0.00797510849238055	0.062486159680813	29	"Alveolum, Fibroblasts, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"30"	"Pros1"	0.901084010840108	0.00904549061788799	0.00724206410751829	0.0624224985948952	30	"Capillary_ECs, Fibroblasts, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	""
"31"	"Aimp1"	0.891147244805781	0.00913273020624169	0.00732930369587199	0.0623877882916024	31	"Airway, Alveolum, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, SMC"	""
"32"	"Col18a1"	0.905149051490515	0.00915952790257573	0.00735610139220603	0.0623074912783123	32	"Fibroblasts, Lymphatic_ECs, Pericytes, SMC"	"Fibroblasts, Pericytes"
"33"	"Jam3"	0.877597109304426	0.00992578343200527	0.00812235692163557	0.0620039408301411	33	"Pericytes"	""
"34"	"Dsg2"	0.902439024390244	0.00952250722774317	0.00771908071737347	0.0616534677086488	34	"Airway"	""
"35"	"Arf1"	0.884372177055104	0.00906571307387419	0.00726228656350449	0.0606708179604183	35	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Granulocytes, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Granulocytes"
