"test_ligand"	"auroc"	"aupr"	"aupr_corrected"	"pearson"	"rank"	"expressed_in"	"upregulated_in"
"1"	"Edn1"	0.566419048514076	0.0766397465871821	0.0412821217558731	0.106929247797914	1	"Capillary_ECs, Vascular_ECs"	""
"2"	"Il1b"	0.572459279700294	0.0626555746846773	0.0272979498533683	0.0862098184342745	2	"Granulocytes, MNP"	""
"3"	"Apoe"	0.585095067429309	0.0555285371710047	0.0201709123396956	0.0740001064574676	3	"MNP"	"MNP"
"4"	"Adam17"	0.580680230844472	0.061843314604123	0.0264856897728139	0.0726258502711996	4	"Lymphatic_ECs, MNP, Vascular_ECs"	""
"5"	"Il1rn"	0.567427177622944	0.0651010801101642	0.0297434552788551	0.0722993193391328	5	"Granulocytes, MNP"	""
"6"	"Il18"	0.571602797131092	0.0561672834406233	0.0208096586093143	0.0696543333228085	6	"MNP"	""
"7"	"Hmgb1"	0.556903762115704	0.0695408307819092	0.0341832059506002	0.0686939684580494	7	"Airway, Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Lymphocytes, MNP, Mesothelium, Pericytes, SMC, Vascular_ECs"	""
"8"	"Bmp5"	0.595480719530786	0.0500827506976153	0.0147251258663063	0.0658801871410658	8	"Airway, Fibroblasts, Pericytes"	""
"9"	"Tgfb1"	0.561286560699196	0.0586156644413677	0.0232580396100587	0.0604567592282096	9	"MNP"	""
"10"	"Tnc"	0.585324673105588	0.0575143405642322	0.0221567157329231	0.0602457657217412	10	"Fibroblasts, Lymphatic_ECs, SMC"	"Fibroblasts, Lymphatic_ECs, SMC"
"11"	"Spp1"	0.552441936462233	0.0522036175182912	0.0168459926869822	0.0592681596001515	11	"Fibroblasts, MNP, Pericytes"	"Fibroblasts, MNP"
"12"	"Wnt5a"	0.559965527110552	0.0533036972945382	0.0179460724632292	0.0566268671078156	12	"Fibroblasts"	""
"13"	"Nampt"	0.551017313335912	0.0504663339246609	0.0151087090933519	0.0534568074403535	13	"Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Pericytes, SMC, Vascular_ECs"	"Pericytes"
"14"	"Celsr1"	0.582275723311268	0.0565443295165192	0.0211867046852101	0.0527617182406382	14	"Airway"	""
"15"	"Itgam"	0.577929234462635	0.0513853265180201	0.0160277016867111	0.0517310504405822	15	"Granulocytes, MNP"	""
"16"	"Igf1"	0.5704643801501	0.0502006266145243	0.0148430017832153	0.0515349471131396	16	"Fibroblasts, MNP"	"Fibroblasts, MNP"
"17"	"Tnfsf13b"	0.578918140770701	0.0513613910117662	0.0160037661804572	0.0508220421028881	17	"Fibroblasts, Mesothelium"	""
"18"	"Anxa1"	0.575451629025574	0.0498483140298069	0.0144906891984978	0.0500162136761384	18	"Airway, Alveolum, Fibroblasts, Granulocytes, Lymphatic_ECs, MNP, Mesothelium, Pericytes, SMC"	"Airway, Alveolum"
"19"	"Fgf2"	0.570400304147423	0.0516732001778822	0.0163155753465732	0.0497597444661762	19	"Fibroblasts, Mesothelium"	""
"20"	"Ncam1"	0.583613843833957	0.0487680629098499	0.0134104380785408	0.0490082636773656	20	"Fibroblasts, SMC"	"Fibroblasts"
"21"	"Il33"	0.575161151146747	0.05433116214782	0.0189735373165109	0.0481524199111515	21	"Alveolum, Fibroblasts, Mesothelium"	""
"22"	"Bmp4"	0.575666283634558	0.046648246036757	0.011290621205448	0.0479662386602241	22	"Alveolum, Fibroblasts, Mesothelium, Pericytes, Vascular_ECs"	""
"23"	"Col4a1"	0.58132633053819	0.0478910835639804	0.0125334587326714	0.0464636606543024	23	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Mesothelium, Pericytes, SMC, Vascular_ECs"	"Alveolum, Capillary_ECs, Fibroblasts, Lymphatic_ECs, Vascular_ECs"
"24"	"Vcam1"	0.575616090765786	0.0482619397803375	0.0129043149490284	0.0457056497071944	24	"Fibroblasts, Vascular_ECs"	""
"25"	"Tnfsf14"	0.558870895398052	0.0543342277164633	0.0189766028851543	0.0456881609970601	25	"Granulocytes"	""
"26"	"Sema5a"	0.577341871104713	0.0477711378014643	0.0124135129701553	0.0452284243260636	26	"Fibroblasts"	""
"27"	"Itgal"	0.555724763666341	0.0520504593059476	0.0166928344746385	0.0451468085188416	27	"Granulocytes, Lymphocytes, MNP"	""
"28"	"Vegfa"	0.560558230135373	0.0488777545326419	0.0135201297013329	0.0447874154648485	28	"Alveolum, Capillary_ECs, Vascular_ECs"	""
"29"	"Ghrl"	0.56132287043404	0.0462122062300086	0.0108545813986996	0.0446143021344019	29	"Airway"	"Airway"
