Airway	Alveolum	MNP	Lymphocytes	Granulocytes	Fibroblasts	Pericytes	SMC	Mesothelium	Capillary_ECs	Vascular_ECs	Lymphatic_ECs
Airway	0	0	0	0	0	35	1	0	0	0	0	0
Alveolum	0	1	0	0	0	40	0	0	0	0	0	0
MNP	0	1	1	1	0	40	0	0	0	0	0	0
Lymphocytes	0	0	0	0	0	16	0	0	0	0	0	0
Granulocytes	0	0	0	0	0	20	0	0	0	0	0	0
Fibroblasts	0	3	0	1	0	67	1	0	0	0	0	0
Pericytes	0	1	0	0	0	38	2	0	0	0	0	0
SMC	0	1	0	0	0	30	1	0	0	0	0	0
Mesothelium	0	2	0	0	0	40	0	0	0	0	0	0
Capillary_ECs	1	0	0	0	0	35	1	0	0	0	0	0
Vascular_ECs	1	0	0	0	0	45	0	0	0	0	0	0
Lymphatic_ECs	0	2	0	0	0	48	0	0	0	0	0	0
